"Order","Family","Species.name.","Brain.mass","Body.mass","Body.mass","Residual.brain.size","Residual.brain.size","Maximum.lifespan","Age.at.first.reprodction","Residual.lifespan","Residual.reproductive.lifespan","Incubation.length","Clutch.size","Mode.of.development","Mean.latitude","Sampling.effort","Dats.source","logBodyMass","logBrainMass"
"Accipitriformes","Accipitridae","Accipiter gentilis ",7.556,926,1044,0.09263,0.142009587156804,22,1,-0.04803,-0.02188,33,3,3,49.44,1,0,6.83087423464618,2.02234194963926
"Accipitriformes","Accipitridae","Accipiter nisus ",2.89,220,237.5,0.02671,0.104293340088426,20.2,1,0.05234,0.07715,34,5,3,49,1,0,5.39362754635236,1.06125650212434
"Accipitriformes","Accipitridae","Aegypius monachus ",27.3,9625,9625,0.07796,0.0834459183911578,39,6,-0.02327,-0.0503,52,1,3,35.23,1,1,9.17211915915598,3.30688670219091
"Accipitriformes","Accipitridae","Aquila chrysaetos ",17.6,4383,4800,0.07968,0.100383133990652,48,4,0.14213,0.15014,40,2,3,45.33,1,1,8.38548870041881,2.86789890204411
"Accipitriformes","Accipitridae","Aquila fasciatus ",10.88,2000,2000,0.06266,0.0983203495901444,20,3,-0.16306,-0.18756,38,2,3,4.17,0,1,7.60090245954208,2.3869262414278
"Accipitriformes","Accipitridae","Aquila heliaca ",15.5,3262,3262,0.09673,0.122667300595738,56,5,0.23732,0.24261,43,2.5,3,46.46,1,1,8.09009578318096,2.7408400239252
"Accipitriformes","Accipitridae","Aquila pomarina ",11.3,1475.4,1370,0.15351,0.194425078209303,26.1,4,-0.01835,-0.04441,40,2,3,39.87,1,0,7.2966844184502,2.42480272571829
"Accipitriformes","Accipitridae","Buteo buteo ",7.879,878.3,1012,0.12376,0.173967229264688,28.8,2,0.074,0.08912,34,3,3,41.05,1,0,6.77798822092307,2.06420099226355
"Accipitriformes","Accipitridae","Buteo lagopus ",8.85,925.8,980.64,0.16134,0.211009587156804,18.8,2,-0.11627,-0.11877,29,5,3,63,0,0,6.83065822859717,2.18041745901984
"Accipitriformes","Accipitridae","Circus aeruginosus ",5.619,584.5,711.5,0.07652,0.135380388094923,20.1,2,-0.04325,-0.04226,35,5.5,3,10.42,1,0,6.37075678091212,1.72615371213006
"Accipitriformes","Accipitridae","Circus cyaneus ",4.6,436.5,392,0.06102,0.125450846690629,17.1,1,-0.08553,-0.06509,31,4.5,3,54.05,1,0,6.07878837527966,1.52605630349505
"Accipitriformes","Accipitridae","Gypaetus barbatus ",24.1,5543.8,5070,0.15873,0.17448402551221,40,8,0.04048,-0.01071,58,1.5,3,9.25,1,1,8.62043546518295,3.18221184049661
"Accipitriformes","Accipitridae","Gyps fulvus ",26,8328.5,7436,0.09215,0.100070866681975,41.4,4,0.0165,0.01795,51,1,3,29.85,2,1,9.02743864691716,3.25809653802148
"Accipitriformes","Accipitridae","Haliaeetus albicilla ",19,4876,6697,0.08685,0.105467849774884,42,4,0.07558,0.07789,41,2,3,50.44,1,1,8.49208049060116,2.94443897916644
"Accipitriformes","Accipitridae","Milvus milvus ",7.3,1121.9,1080,0.03073,0.0766407047674844,38,3,0.17098,0.18155,32,2,3,38.29,1,1,7.02277895555092,1.98787434815435
"Accipitriformes","Accipitridae","Neophron percnopterus ",11,1977,2082,0.07025,0.105354619613598,37,6,0.10522,0.07447,42,2,3,22.17,1,1,7.58933582317062,2.39789527279837
"Accipitriformes","Accipitridae","Parabuteo unicinctus",8.267,863.2,994.26,0.14888,0.199822061302212,25,1,0.01421,0.04285,34,3,3,4.65,2,1,6.76064641394392,2.11227168627054
"Accipitriformes","Accipitridae","Pernis apivorus ",7.641,762.5,758,0.145,0.198592177555504,29,3,0.09053,0.08952,33,2,3,50.75,1,0,6.63660250848157,2.03352848466543
"Accipitriformes","Pandionidae","Pandion haliaetus ",9.6,1527.5,1362,0.07421,0.114322268138944,32,3,0.06684,0.07026,38,3,3,13.42,1,0,7.33138769104575,2.26176309847379
"Anseriformes","Anatidae","Anas acuta ",4.727,945.5,721,-0.11617,-0.0664520988854116,27.4,1,0.04531,0.07551,22,7.5,1,56.23,2,0,6.85171388809851,1.5532907518111
"Anseriformes","Anatidae","Anas clypeata ",3.3,613,613,-0.16627,-0.107756691998889,22.6,1,0.00311,0.02995,23,11,1,52.57,1,0,6.41836493593621,1.19392246847243
"Anseriformes","Anatidae","Anas crecca ",2.638,315,343.8,-0.10069,-0.0303758846433067,27.1,1,0.14563,0.17604,22,10,1,53.07,1,0,5.75257263882563,0.970021054295123
"Anseriformes","Anatidae","Anas penelope ",3.998,771.5,660,-0.13918,-0.0854420924679485,35.2,1,0.17355,0.20745,24,8,1,60.32,1,0,6.64833667180322,1.38579423607821
"Anseriformes","Anatidae","Anas querquedula ",2.8,326,326,-0.0832,-0.0134786947136654,14.7,1,-0.1233,-0.10718,22,8.5,1,51.32,1,0,5.78689738136671,1.02961941718116
"Anseriformes","Anatidae","Anser albifrons ",9.105,2680.5,2681,-0.0863,-0.056750109005561,47,3,0.18001,0.19734,27,5,1,66.39,1,1,7.89375862326759,2.20882371317957
"Anseriformes","Anatidae","Anser anser ",11.082,3464.5,3309,-0.06371,-0.0387177575309081,31,3,-0.02526,-0.02358,27,5,1,50.78,2,1,8.15032360106744,2.40532217044516
"Anseriformes","Anatidae","Anser fabalis ",11.485,3020.5,3348,-0.01466,0.0126934827505278,25.6,3,-0.09527,-0.10347,28,4,1,62.15,1,0,8.0131776595788,2.44104183614106
"Anseriformes","Anatidae","Aythya ferina ",5.861,828,823,0.00967,0.061745433386643,23.2,1,-0.01427,0.01299,26,9,1,51.17,1,0,6.71901315438526,1.76832023749429
"Anseriformes","Anatidae","Aythya fuligula ",4.475,701.5,701.5,-0.06697,-0.0115610782756341,45.2,1,0.29124,0.32797,25,9.5,1,54.58,1,0,6.55322089954252,1.49850635172682
"Anseriformes","Anatidae","Aythya marila ",5.425,1013.5,928.5,-0.07334,-0.0256577190261293,22.1,1,-0.05469,-0.02848,26,9,1,59.53,2,0,6.92116496589205,1.69101789942652
"Anseriformes","Anatidae","Branta bernicla ",6.05,1300,1163,-0.08687,-0.0431979515327137,28.8,2,0.0365,0.05148,24,4,1,71.67,2,0,7.17011954344963,1.80005827204275
"Anseriformes","Anatidae","Branta leucopsis ",6.751,1687,1687,-0.10298,-0.0647724540627512,28.2,2,0.00244,0.01663,24,4.5,1,74.75,1,0,7.43070708254597,1.90969064205973
"Anseriformes","Anatidae","Bucephala clangula ",6.146,900,895.86,0.0099,0.0608986892177815,18.4,2,-0.12291,-0.12652,30,10,1,57.16,1,0,6.80239476332431,1.81580146370829
"Anseriformes","Anatidae","Bucephala islandica ",5.77,910,957.15,-0.02022,0.0298644191943286,18,2,-0.13351,-0.13831,29,1,1,52.79,1,0,6.8134445995109,1.75267208052001
