"","year","pnum","box_attempt","nestbox","species","clutch_size","April_lay","April_hatch","num_chicks","num_eggs_manipulated","number_fledged","adult_male","adult_female","incubation_period","test"
"405",1958,"19581B109",1,"B109","BLUTI",8,38,57,8,NA,8,NA,NA,12,0
"407",1958,"19581B116",1,"B116","BLUTI",9,35,NA,NA,NA,0,NA,NA,NA,NA
"408",1958,"19581B117",1,"B117","BLUTI",6,33,NA,NA,NA,0,NA,NA,NA,NA
"409",1958,"19581B12",1,"B12","BLUTI",11,38,60,11,NA,10,NA,NA,12,0
"411",1958,"19581B122",1,"B122","BLUTI",10,30,54,8,NA,8,NA,NA,15,2
"415",1958,"19581B15",1,"B15","BLUTI",10,36,56,9,NA,8,NA,NA,11,1
"416",1958,"19581B150",1,"B150","BLUTI",9,36,59,9,NA,8,NA,NA,15,0
"418",1958,"19581B16",1,"B16","BLUTI",7,44,63,7,NA,6,NA,NA,13,0
"419",1958,"19581B164",1,"B164","BLUTI",7,35,58,7,NA,0,NA,NA,17,0
"420",1958,"19581B169",1,"B169","BLUTI",NA,43,NA,NA,NA,0,NA,NA,NA,NA
"421",1958,"19581B172",1,"B172","BLUTI",11,34,56,11,NA,11,NA,NA,12,0
"424",1958,"19581B193",1,"B193","BLUTI",8,33,52,8,NA,8,NA,NA,12,0
"430",1958,"19581B21",1,"B21","BLUTI",7,29,52,6,NA,6,NA,NA,17,1
"432",1958,"19581B30",1,"B30","BLUTI",11,35,58,NA,NA,0,NA,NA,13,NA
"434",1958,"19581B33",1,"B33","BLUTI",8,NA,NA,8,NA,0,NA,NA,NA,0
"435",1958,"19581B39",1,"B39","BLUTI",10,34,NA,NA,NA,0,NA,NA,NA,NA
"440",1958,"19581B56",1,"B56","BLUTI",9,39,59,9,NA,9,NA,NA,12,0
"442",1958,"19581B60",1,"B60","BLUTI",9,50,NA,NA,NA,0,NA,NA,NA,NA
"451",1958,"19581B80",1,"B80","BLUTI",11,34,NA,NA,NA,0,NA,NA,NA,NA
"456",1958,"19581O12",1,"O12","BLUTI",11,32,54,11,NA,0,NA,NA,12,0
"457",1958,"19581O18",1,"O18","BLUTI",13,28,53,13,NA,12,NA,NA,13,0
"462",1958,"19581O33",1,"O33","BLUTI",11,32,52,11,NA,11,NA,NA,10,0
"465",1958,"19581O49",1,"O49","BLUTI",12,27,50,12,NA,11,NA,NA,12,0
"466",1958,"19581O5",1,"O5","BLUTI",11,34,56,10,NA,10,NA,NA,12,1
"469",1958,"19581O53",1,"O53","BLUTI",8,32,51,6,NA,6,NA,NA,12,2
"473",1958,"19581O7",1,"O7","BLUTI",7,37,55,7,NA,7,NA,NA,12,0
"474",1958,"19581O8",1,"O8","BLUTI",7,50,65,7,NA,2,NA,NA,9,0
"475",1958,"19581W1",1,"W1","BLUTI",9,33,52,9,NA,9,NA,NA,11,0
"476",1958,"19581W10",1,"W10","BLUTI",10,33,54,10,NA,10,NA,NA,12,0
"479",1958,"19581W11",1,"W11","BLUTI",11,29,50,11,NA,11,NA,NA,11,0
"483",1958,"19581W17",1,"W17","BLUTI",12,29,50,12,NA,12,NA,NA,10,0
"486",1958,"19581W24",1,"W24","BLUTI",9,30,53,9,NA,9,NA,NA,15,0
"487",1958,"19581W25",1,"W25","BLUTI",11,24,46,10,NA,10,NA,NA,12,1
"490",1958,"19581W32",1,"W32","BLUTI",11,35,57,11,NA,9,NA,NA,12,0
"491",1958,"19581W34",1,"W34","BLUTI",10,30,50,10,NA,10,NA,NA,11,0
"492",1958,"19581W37",1,"W37","BLUTI",3,36,NA,3,NA,2,NA,NA,NA,0
"493",1958,"19581W38",1,"W38","BLUTI",13,22,46,13,NA,13,NA,NA,12,0
"494",1958,"19581W4",1,"W4","BLUTI",11,31,52,11,NA,9,NA,NA,11,0
"495",1958,"19581W40",1,"W40","BLUTI",9,47,64,9,NA,6,NA,NA,9,0
"497",1958,"19581W43",1,"W43","BLUTI",10,30,50,9,NA,9,NA,NA,11,1
"498",1958,"19581W45",1,"W45","BLUTI",12,28,51,12,NA,10,NA,NA,12,0
"501",1958,"19581W48",1,"W48","BLUTI",13,26,50,13,NA,13,NA,NA,12,0
"502",1958,"19581W5",1,"W5","BLUTI",9,35,55,9,NA,8,NA,NA,12,0
"503",1958,"19581W50",1,"W50","BLUTI",11,30,52,11,NA,11,NA,NA,12,0
"504",1958,"19581W53",1,"W53","BLUTI",9,33,52,9,NA,9,NA,NA,11,0
"505",1958,"19581W55",1,"W55","BLUTI",5,36,NA,NA,NA,0,NA,NA,NA,NA
"509",1958,"19581W65",1,"W65","BLUTI",10,33,54,10,NA,10,NA,NA,12,0
"511",1958,"19581W70",1,"W70","BLUTI",12,23,46,12,NA,12,NA,NA,12,0
"512",1958,"19581W77",1,"W77","BLUTI",11,31,52,11,NA,11,NA,NA,11,0
"513",1958,"19581W79",1,"W79","BLUTI",9,36,56,9,NA,9,NA,NA,12,0
"514",1958,"19581W83",1,"W83","BLUTI",10,31,52,10,NA,10,NA,NA,12,0
"515",1958,"19581W86",1,"W86","BLUTI",9,41,61,9,NA,8,NA,NA,12,0
"516",1958,"19581W89",1,"W89","BLUTI",12,32,55,12,NA,11,NA,NA,12,0
"518",1958,"19581W92",1,"W92","BLUTI",9,37,57,9,NA,9,NA,NA,12,0
"524",1959,"19591B121",1,"B121","BLUTI",9,20,41,9,NA,9,NA,NA,13,0
"529",1959,"19591B130",1,"B130","BLUTI",10,18,39,9,NA,9,NA,NA,12,1
"530",1959,"19591B138",1,"B138","BLUTI",1,55,NA,NA,NA,0,NA,NA,NA,NA
"531",1959,"19591B139",1,"B139","BLUTI",10,24,45,10,NA,10,NA,NA,12,0
"532",1959,"19591B140",1,"B140","BLUTI",2,40,NA,NA,NA,0,NA,NA,NA,NA
"533",1959,"19591B147",1,"B147","BLUTI",6,50,67,6,NA,5,NA,"37288",12,0
"534",1959,"19591B149",1,"B149","BLUTI",6,36,55,6,NA,0,NA,NA,14,0
"536",1959,"19591B150",1,"B150","BLUTI",8,23,42,8,NA,6,NA,NA,12,0
"537",1959,"19591B158",1,"B158","BLUTI",11,19,41,9,NA,8,NA,NA,12,2
"538",1959,"19591B16",1,"B16","BLUTI",8,23,42,8,NA,8,NA,NA,12,0
"541",1959,"19591B176",1,"B176","BLUTI",9,20,40,9,NA,9,NA,NA,12,0
"542",1959,"19591B185",1,"B185","BLUTI",9,24,44,8,NA,8,NA,NA,12,1
"543",1959,"19591B186",1,"B186","BLUTI",9,19,39,7,NA,7,NA,NA,12,2
"550",1959,"19591B195",1,"B195","BLUTI",9,23,43,9,NA,9,NA,NA,12,0
"551",1959,"19591B196",1,"B196","BLUTI",11,20,42,11,NA,11,NA,NA,12,0
"554",1959,"19591B204",1,"B204","BLUTI",10,20,42,6,NA,6,NA,NA,13,4
"555",1959,"19591B205",1,"B205","BLUTI",13,19,43,12,NA,7,NA,NA,12,1
"557",1959,"19591B207",1,"B207","BLUTI",7,22,41,7,NA,7,NA,NA,13,0
"559",1959,"19591B33",1,"B33","BLUTI",8,25,44,4,NA,0,NA,NA,12,4
"562",1959,"19591B42",1,"B42","BLUTI",9,24,44,8,NA,8,NA,NA,12,1
"565",1959,"19591B53",1,"B53","BLUTI",9,NA,NA,9,NA,9,NA,NA,NA,0
"568",1959,"19591B59",1,"B59","BLUTI",8,29,49,8,NA,8,NA,NA,13,0
"570",1959,"19591B62",1,"B62","BLUTI",12,26,49,10,NA,9,NA,NA,12,2
"576",1959,"19591B71",1,"B71","BLUTI",9,39,59,9,NA,0,NA,NA,12,0
"586",1959,"19591B91",1,"B91","BLUTI",14,18,43,14,NA,5,NA,NA,12,0
"592",1959,"19591CP128",1,"CP128","BLUTI",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"593",1959,"19591CP139",1,"CP139","BLUTI",NA,NA,NA,NA,NA,12,NA,NA,NA,NA
"594",1959,"19591CP188",1,"CP188","BLUTI",NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"601",1959,"19591CP82",1,"CP82","BLUTI",NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"602",1959,"19591CP89",1,"CP89","BLUTI",NA,NA,NA,NA,NA,12,NA,NA,NA,NA
"606",1959,"19591EX12",1,"EX12","BLUTI",12,17,40,11,NA,10,NA,NA,12,1
"608",1959,"19591EX14",1,"EX14","BLUTI",11,17,39,10,NA,10,NA,NA,12,1
"609",1959,"19591EX15",1,"EX15","BLUTI",14,11,36,13,NA,0,NA,NA,12,1
"611",1959,"19591EX17",1,"EX17","BLUTI",7,13,NA,NA,NA,0,NA,NA,NA,NA
"612",1959,"19591EX18",1,"EX18","BLUTI",11,18,40,9,NA,9,NA,NA,12,2
"614",1959,"19591EX21",1,"EX21","BLUTI",10,16,37,10,NA,10,NA,NA,12,0
"617",1959,"19591EX24",1,"EX24","BLUTI",10,26,NA,NA,NA,0,NA,NA,NA,NA
"618",1959,"19591EX27",1,"EX27","BLUTI",10,19,40,10,NA,9,NA,NA,12,0
"619",1959,"19591EX28",1,"EX28","BLUTI",12,20,41,12,NA,10,NA,NA,10,0
"621",1959,"19591EX3",1,"EX3","BLUTI",11,21,45,11,NA,10,NA,NA,14,0
"624",1959,"19591EX32",1,"EX32","BLUTI",11,21,44,11,NA,10,NA,NA,13,0
"625",1959,"19591EX33",1,"EX33","BLUTI",12,NA,NA,11,NA,11,NA,NA,NA,1
"627",1959,"19591EX36",1,"EX36","BLUTI",12,17,40,12,NA,12,NA,NA,12,0
"628",1959,"19591EX37",1,"EX37","BLUTI",10,20,41,9,NA,7,NA,NA,12,1
"631",1959,"19591EX4",1,"EX4","BLUTI",9,23,45,8,NA,8,NA,NA,14,1
"633",1959,"19591EX41A",1,"EX41A","BLUTI",7,41,59,7,NA,7,NA,NA,12,0
"637",1959,"19591EX45",1,"EX45","BLUTI",11,25,47,11,NA,11,NA,NA,12,0
"640",1959,"19591EX48",1,"EX48","BLUTI",1,23,NA,NA,NA,0,NA,NA,NA,NA
"641",1959,"19591EX49",1,"EX49","BLUTI",12,19,42,NA,NA,0,NA,NA,12,NA
"642",1959,"19591EX49A",1,"EX49A","BLUTI",7,35,53,7,NA,7,NA,"K36980",12,0
"643",1959,"19591EX49C",1,"EX49C","BLUTI",7,41,58,7,NA,7,NA,"37316",11,0
"646",1959,"19591EX51",1,"EX51","BLUTI",13,19,45,13,NA,13,NA,NA,14,0
"647",1959,"19591EX52",1,"EX52","BLUTI",10,17,38,10,NA,10,NA,NA,12,0
"650",1959,"19591EX55",1,"EX55","BLUTI",10,21,42,9,NA,7,NA,NA,12,1
"651",1959,"19591EX57",1,"EX57","BLUTI",10,17,38,9,NA,9,NA,NA,12,1
"653",1959,"19591EX59",1,"EX59","BLUTI",9,28,48,8,NA,8,NA,NA,12,1
"654",1959,"19591EX6",1,"EX6","BLUTI",12,17,40,12,NA,10,NA,NA,12,0
"656",1959,"19591EX61",1,"EX61","BLUTI",10,16,38,8,NA,8,NA,NA,13,2
"661",1959,"19591EX67",1,"EX67","BLUTI",10,23,44,9,NA,9,NA,NA,12,1
"662",1959,"19591EX68",1,"EX68","BLUTI",10,23,42,10,NA,10,NA,NA,10,0
"665",1959,"19591EX70",1,"EX70","BLUTI",11,17,38,11,NA,11,NA,NA,11,0
"667",1959,"19591EX72",1,"EX72","BLUTI",10,20,41,10,NA,0,NA,NA,12,0
