"Table","Sex","Age","Status","Total.Length","Wingspread","Weight","Skull.Length","Humerus.Length","Femur.Length","Tarsus.Length","Sternum.Length","Skull.Width"
"I.1","Male","Adult","Alive",154,241,24.5,31.2,0.687,0.668,1.022,0.83,0.587
"I.2","Male","Adult","Alive",160,252,26.9,30.8,0.736,0.709,1.18,0.841,0.602
"I.3","Male","Adult","Alive",155,243,26.9,30.6,0.733,0.704,1.151,0.846,0.602
"I.4","Male","Adult","Alive",154,245,24.3,31.7,0.741,0.688,1.146,0.839,0.584
"I.5","Male","Adult","Alive",156,247,24.1,31.5,0.715,0.706,1.129,0.821,0.575
"I.6","Male","Adult","Alive",161,253,26.5,31.8,0.78,0.743,1.144,0.893,0.607
"I.7","Male","Adult","Alive",157,251,24.6,31.1,0.741,0.736,1.153,0.862,0.61
"I.8","Male","Adult","Alive",159,247,24.2,31.4,0.728,0.718,1.126,0.793,0.609
"I.9","Male","Adult","Alive",158,247,23.6,29.8,0.703,0.673,1.079,0.82,0.602
"I.10","Male","Adult","Alive",158,252,26.2,32,0.749,0.739,1.153,0.857,0.614
"I.11","Male","Adult","Alive",160,252,26.2,32,0.741,0.723,1.129,0.892,0.624
"I.12","Male","Adult","Alive",162,253,24.8,32.3,0.766,0.752,1.134,0.923,0.633
"I.13","Male","Adult","Alive",161,243,25.4,31.8,0.721,0.722,1.126,0.891,0.597
"I.14","Male","Adult","Alive",160,250,23.7,29.8,0.73,0.703,1.103,0.82,0.59
"I.15","Male","Adult","Alive",159,247,25.7,31.4,0.729,0.717,1.141,0.927,0.592
"I.16","Male","Adult","Alive",158,253,25.7,31.9,0.743,0.699,1.15,0.86,0.6
"I.17","Male","Adult","Alive",159,247,26.5,31.6,0.733,0.714,1.155,0.923,0.611
"I.18","Male","Adult","Alive",166,253,26.7,32.5,0.767,0.765,1.23,0.878,0.6
"I.19","Male","Adult","Alive",159,247,23.9,31.4,0.752,0.723,1.113,0.825,0.602
"I.20","Male","Adult","Alive",160,248,24.7,31.3,0.752,0.737,1.176,0.803,0.603
"I.21","Male","Adult","Alive",161,252,28,31.8,0.77,0.731,1.19,0.885,0.59
"I.22","Male","Adult","Alive",163,251,27.9,31.9,0.769,0.745,1.168,0.86,0.622
"I.23","Male","Adult","Alive",156,242,25.9,32,0.723,0.711,1.116,0.886,0.609
"I.24","Male","Adult","Alive",165,251,25.7,32.2,0.751,0.742,1.161,0.865,0.613
"I.25","Male","Adult","Alive",160,247,26.6,32.4,0.728,0.707,1.108,0.836,0.59
"I.26","Male","Adult","Alive",158,244,23.2,31.6,0.73,0.713,1.142,0.888,0.585
"I.27","Male","Adult","Alive",160,242,25.7,31.6,0.709,0.705,1.124,0.788,0.62
"I.28","Male","Adult","Alive",157,245,26.3,32.2,0.741,0.726,1.143,0.85,0.595
"I.29","Male","Adult","Alive",159,244,24.3,31.5,0.723,0.698,1.107,0.847,0.615
"I.30","Male","Adult","Alive",160,253,26.7,32.1,0.739,0.714,1.117,0.864,0.592
"I.31","Male","Adult","Alive",158,245,24.9,31.4,0.726,0.703,1.119,0.854,0.58
"I.32","Male","Adult","Alive",161,247,23.8,31.4,0.735,0.694,1.101,0.789,0.602
"I.33","Male","Adult","Alive",160,247,24.6,32.3,0.756,0.745,1.135,0.905,0.607
"I.34","Male","Adult","Alive",160,247,27,32,0.755,0.736,1.174,0.873,0.631
"I.35","Male","Adult","Alive",153,241,24.7,32.2,0.728,0.68,1.092,0.884,0.592
"Ia.1","Male","Adult","Dead",165,249,26.5,31,0.738,0.704,1.095,0.847,0.606
"Ia.2","Male","Adult","Dead",160,245,26.1,32,0.736,0.709,1.109,0.842,0.611
"Ia.3","Male","Adult","Dead",161,249,25.6,32.3,0.743,0.718,1.128,0.828,0.602
"Ia.4","Male","Adult","Dead",162,246,25.9,32.3,0.738,0.709,1.135,0.869,0.607
"Ia.5","Male","Adult","Dead",163,250,25.5,32.5,0.752,0.731,1.197,0.888,0.623
"Ia.6","Male","Adult","Dead",162,247,27.6,31.8,0.731,0.719,1.113,0.869,0.597
"Ia.7","Male","Adult","Dead",163,246,25.8,31.4,0.689,0.662,1.073,0.836,0.604
"Ia.8","Male","Adult","Dead",161,246,24.9,30.5,0.739,0.726,1.138,0.803,0.58
"Ia.9","Male","Adult","Dead",160,242,26,31,0.745,0.713,1.105,0.803,0.6
"Ia.10","Male","Adult","Dead",162,246,26.5,31.5,0.72,0.696,1.092,0.809,0.606
"Ia.11","Male","Adult","Dead",160,249,26,31.4,0.726,0.689,1.097,0.85,0.602
"Ia.12","Male","Adult","Dead",161,250,27.1,31.6,0.737,0.711,1.12,0.852,0.631
"Ia.13","Male","Adult","Dead",162,248,25.1,31.9,0.744,0.722,1.154,0.839,0.591
"Ia.14","Male","Adult","Dead",165,252,26,32.3,0.726,0.71,1.145,0.887,0.609
"Ia.15","Male","Adult","Dead",161,243,25.6,32.5,0.709,0.707,1.122,0.832,0.607
"Ia.16","Male","Adult","Dead",161,244,25,31.3,0.702,0.685,1.082,0.874,0.595
